metro_id,fullaqsid,policy_id,start_date,end_date
943,ERG-HS8,28,2021-10-25,2023-08-28
943,ERG-HS8,44,2023-08-29,NA
943,ERG-HS9,44,2023-08-29,NA
943,ERG-HV1,44,2023-08-29,NA
943,ERG-HV2,44,2023-08-29,NA
943,ERG-HV3,44,2023-08-29,NA
943,ERG-IM1,27,2003-02-17,2007-02-18
943,ERG-IM1,28,2021-10-25,2023-08-28
943,ERG-IM1,41,2007-02-19,2011-01-03
943,ERG-IM1,42,2011-01-04,NA
943,ERG-IM1,43,2019-04-08,2021-10-24
943,ERG-IM1,44,2023-08-29,NA
943,ERG-IS1,28,2021-10-25,2023-08-28
943,ERG-IS1,44,2023-08-29,NA
943,ERG-IS2,28,2021-10-25,2023-08-28
943,ERG-IS2,44,2023-08-29,NA
943,ERG-IS4,28,2021-10-25,2023-08-28
943,ERG-IS4,44,2023-08-29,NA
943,ERG-IS5,28,2021-10-25,2023-08-28
943,ERG-IS5,44,2023-08-29,NA
943,ERG-IS6,28,2021-10-25,2023-08-28
943,ERG-IS6,44,2023-08-29,NA
943,ERG-KC1,28,2021-10-25,2023-08-28
943,ERG-KC1,41,2007-02-19,2011-01-03
943,ERG-KC1,44,2023-08-29,NA
943,ERG-KC2,28,2021-10-25,2023-08-28
943,ERG-KC2,41,2007-02-19,2011-01-03
943,ERG-KC2,44,2023-08-29,NA
943,ERG-KC3,28,2021-10-25,2023-08-28
943,ERG-KC3,41,2007-02-19,2011-01-03
943,ERG-KC3,44,2023-08-29,NA
943,ERG-KC4,28,2021-10-25,2023-08-28
943,ERG-KC4,41,2007-02-19,2011-01-03
943,ERG-KC4,44,2023-08-29,NA
943,ERG-KC5,28,2021-10-25,2023-08-28
943,ERG-KC5,44,2023-08-29,NA
943,ERG-KC7,28,2021-10-25,2023-08-28
943,ERG-KC7,41,2007-02-19,2011-01-03
943,ERG-KC7,44,2023-08-29,NA
943,ERG-KF1,28,2021-10-25,2023-08-28
943,ERG-KF1,41,2007-02-19,2011-01-03
943,ERG-KF1,44,2023-08-29,NA
943,ERG-KG1,28,2021-10-25,2023-08-28
943,ERG-KG1,44,2023-08-29,NA
943,ERG-KG2,28,2021-10-25,2023-08-28
943,ERG-KG2,44,2023-08-29,NA
943,ERG-KT1,44,2023-08-29,NA
943,ERG-KT2,44,2023-08-29,NA
943,ERG-KT3,44,2023-08-29,NA
943,ERG-KT4,44,2023-08-29,NA
943,ERG-KT5,44,2023-08-29,NA
943,ERG-KT6,44,2023-08-29,NA
943,ERG-KX4,28,2021-10-25,2023-08-28
943,ERG-KX4,44,2023-08-29,NA
943,ERG-LB1,44,2023-08-29,NA
943,ERG-LB2,28,2021-10-25,2023-08-28
943,ERG-LB2,44,2023-08-29,NA
943,ERG-LB3,28,2021-10-25,2023-08-28
943,ERG-LB3,44,2023-08-29,NA
943,ERG-LB4,28,2021-10-25,2023-08-28
